region,species,year,abundance.all,abundance.hatch,abundance.nat
ak.kod,pink,2014,13.661982,6.215,7.446982
ak.kod,pink,2015,39.376891,5.596,33.780891
ak.kod,sockeye,1952,1.586021696,0,1.586021696
ak.kod,sockeye,1953,1.112852057,0,1.112852057
ak.kod,sockeye,1954,1.126307079,0,1.126307079
ak.kod,sockeye,1955,0.877539358,0,0.877539358
ak.kod,sockeye,1956,1.036250793,0,1.036250793
ak.kod,sockeye,1957,0.976163769,0,0.976163769
ak.kod,sockeye,1958,1.064075877,0,1.064075877
ak.kod,sockeye,1959,1.134596963,0,1.134596963
ak.kod,sockeye,1960,1.189167118,0,1.189167118
ak.kod,sockeye,1961,1.265417242,0,1.265417242
ak.kod,sockeye,1962,1.870103343,0,1.870103343
ak.kod,sockeye,1963,1.263846843,0,1.263846843
ak.kod,sockeye,1964,1.415449207,0,1.415449207
ak.kod,sockeye,1965,1.161767511,0,1.161767511
ak.kod,sockeye,1966,1.630674773,0,1.630674773
ak.kod,sockeye,1967,1.098763853,0,1.098763853
ak.kod,sockeye,1968,1.832648307,0,1.832648307
ak.kod,sockeye,1969,1.566384131,0,1.566384131
ak.kod,sockeye,1970,2.071226743,0,2.071226743
ak.kod,sockeye,1971,1.382528959,0,1.382528959
ak.kod,sockeye,1972,0.957567333,0,0.957567333
ak.kod,sockeye,1973,0.880634054,0,0.880634054
ak.kod,sockeye,1974,1.28337969,0,1.28337969
ak.kod,sockeye,1975,0.854536768,0,0.854536768
ak.kod,sockeye,1976,1.586702333,0,1.586702333
ak.kod,sockeye,1977,1.645986333,0,1.645986333
ak.kod,sockeye,1978,1.925502333,0,1.925502333
ak.kod,sockeye,1979,1.745390333,0,1.745390333
ak.kod,sockeye,1980,2.273013262,0.03800968,2.235003582
ak.kod,sockeye,1981,2.299404341,0.321490775,1.977913566
ak.kod,sockeye,1982,2.540085819,0.235479202,2.304606617
ak.kod,sockeye,1983,2.169080382,0.174938447,1.994141935
ak.kod,sockeye,1984,3.186168615,0.022,3.164168615
ak.kod,sockeye,1985,4.339752287,0.014222977,4.32552931
ak.kod,sockeye,1986,5.047022098,1.026751797,4.020270301
ak.kod,sockeye,1987,2.65202493,1.078984453,1.573040476
ak.kod,sockeye,1988,5.179735487,0,5.179735487
ak.kod,sockeye,1989,3.275971983,0.810178364,2.465793619
ak.kod,sockeye,1990,7.291758997,0,7.291758997
ak.kod,sockeye,1991,8.376886487,0,8.376886487
ak.kod,sockeye,1992,6.274778649,2.547383,3.727395649
ak.kod,sockeye,1993,5.370900753,3.393066,1.977834753
ak.kod,sockeye,1994,5.812938576,3.080106,2.732832576
ak.kod,sockeye,1995,6.965723683,0.282289,6.683434683
ak.kod,sockeye,1996,6.837110031,0.470667568,6.366442463
ak.kod,sockeye,1997,4.88769056,0.806137,4.08155356
ak.kod,sockeye,1998,5.616306967,1.319053,4.297253967
ak.kod,sockeye,1999,7.437177344,0.995961,6.441216344
ak.kod,sockeye,2000,5.034546527,0.566344,4.468202527
ak.kod,sockeye,2001,4.527750818,0.485068,4.042682818
ak.kod,sockeye,2002,3.645903,0.803297,2.842606
ak.kod,sockeye,2003,7.358399647,0.866389,6.492010647
ak.kod,sockeye,2004,6.062491,0.32667,5.735821
ak.kod,sockeye,2005,4.58761,0.217447,4.370163
ak.kod,sockeye,2006,2.568534,0.119473,2.449061
ak.kod,sockeye,2007,3.273484,0.210801,3.062683
ak.kod,sockeye,2008,2.75066,0.32023,2.43043
ak.kod,sockeye,2009,2.845415,0.255285,2.59013
ak.kod,sockeye,2010,2.532064,0.324134,2.20793
ak.kod,sockeye,2011,3.281491,0.499456,2.782035
ak.kod,sockeye,2012,3.533837,0.329738,3.204099
ak.kod,sockeye,2013,3.896456,0.474948,3.421508
ak.kod,sockeye,2014,4.890773,0.3883,4.502473
ak.kod,sockeye,2015,4.5961,0.31,4.2861
ak.pws,chum,1952,0.829918607,0,0.829918607
ak.pws,chum,1953,0.607488052,0,0.607488052
ak.pws,chum,1954,0.694960631,0,0.694960631
ak.pws,chum,1955,0.694960631,0,0.694960631
ak.pws,chum,1956,0.78243321,0,0.78243321
ak.pws,chum,1957,0.995492665,0,0.995492665
ak.pws,chum,1958,0.975245857,0,0.975245857
ak.pws,chum,1959,0.808458415,0,0.808458415
ak.pws,chum,1960,0.641670972,0,0.641670972
ak.pws,chum,1961,0.4521253,0,0.4521253
ak.pws,chum,1962,1.184376315,0,1.184376315
ak.pws,chum,1963,1.234696837,0,1.234696837
ak.pws,chum,1964,0.817270642,0,0.817270642
ak.pws,chum,1965,0.422814712,0,0.422814712
ak.pws,chum,1966,0.747438,0,0.747438
ak.pws,chum,1967,0.560444,0,0.560444
ak.pws,chum,1968,0.510759,0,0.510759
ak.pws,chum,1969,0.526892,0,0.526892
ak.pws,chum,1970,0.369211,0,0.369211
ak.pws,chum,1971,0.821285,0,0.821285
ak.pws,chum,1972,0.65106,0,0.65106
ak.pws,chum,1973,1.835234,0,1.835234
ak.pws,chum,1974,0.464069,0,0.464069
